episode,excitation_0,excitation_1,force_0,force_1,marker_x,marker_y,marker_z,policy_action_0,policy_action_1,reward,step,target_x,target_y,target_z,terminated,time,tracking_error,truncated
0,0.9371899962425232,0.03769326210021973,16.748519897460938,2.749145030975342,-0.03659600019454956,0.0,0.0,0.8743799924850464,-0.9246134757995605,0.6689460112166407,0,-0.0648220032453537,0.0,0.0,False,3781.24,0.028225,False
0,0.03379926085472107,0.834621787071228,1.0083680152893066,16.36005210876465,-0.05388899892568588,0.0,0.0,-0.9324014782905579,0.669243574142456,0.3173497509307861,1,-0.0648220032453537,0.0,0.0,False,3781.3,0.010933,False
0,0.4030134677886963,0.026187539100646973,7.465396881103516,1.1186230182647705,-0.06087400019168854,0.0,0.0,-0.19397306442260742,-0.947624921798706,5.0,2,-0.0648220032453537,0.0,0.0,True,3781.36,0.003948,False
1,0.028867721557617188,0.9741301536560059,2.686187982559204,17.373769760131836,0.03944699838757515,0.0,0.0,-0.9422645568847656,0.9482603073120117,0.6426622165055277,0,0.1372310072183609,0.0,0.0,False,3781.48,0.097783,False
1,0.07661199569702148,0.34538733959198,3.652534008026123,4.787452220916748,0.1029219999909401,0.0,0.0,-0.846776008605957,-0.30922532081604004,1.2107284557185174,1,0.1372310072183609,0.0,0.0,False,3781.54,0.034309,False
1,0.7747340798377991,0.029660701751708984,15.376236915588379,0.7116580009460449,0.1255909949541092,0.0,0.0,0.5494681596755981,-0.940678596496582,0.4316093447560072,2,0.1372310072183609,0.0,0.0,False,3781.6,0.01164,False
1,0.035848796367645264,0.47646650671958923,1.6079000234603882,8.638405799865723,0.14049600064754486,0.0,0.0,-0.9283024072647095,-0.04706698656082153,5.0,3,0.1372310072183609,0.0,0.0,True,3781.66,0.003265,False
2,0.021168917417526245,0.9823367595672607,2.5329489707946777,17.53716468811035,0.037255000323057175,0.0,0.0,-0.9576621651649475,0.9646735191345215,0.5606607957725525,0,0.20585699379444122,0.0,0.0,False,3781.78,0.168602,False
2,0.033392131328582764,0.9534305930137634,4.232085227966309,15.504369735717773,0.127143993973732,0.0,0.0,-0.9332157373428345,0.9068611860275269,1.6743182070199008,1,0.20585699379444122,0.0,0.0,False,3781.84,0.078713,False
2,0.7648658752441406,0.028495490550994873,16.242076873779297,0.37484899163246155,0.18616899847984314,0.0,0.0,0.5297317504882812,-0.9430090188980103,1.1385533082122805,2,0.20585699379444122,0.0,0.0,False,3781.9,0.019688,False
2,0.14064708352088928,0.0623050332069397,3.322330951690674,0.7367110252380371,0.2065500020980835,0.0,0.0,-0.7187058329582214,-0.8753899335861206,5.0,3,0.20585699379444122,0.0,0.0,True,3781.96,0.000693,False
3,0.01919415593147278,0.9849018454551697,2.512377977371216,17.569541931152344,0.03816799819469452,0.0,0.0,-0.9616116881370544,0.9698036909103394,0.5511560401530264,0,0.22581100463867188,0.0,0.0,False,3782.08,0.187643,False
3,0.03028768301010132,0.9744962453842163,4.237246036529541,15.858431816101074,0.12950800359249115,0.0,0.0,-0.9394246339797974,0.9489924907684326,1.6846753215734176,1,0.22581100463867188,0.0,0.0,False,3782.14,0.096303,False
3,0.5255266427993774,0.053488582372665405,12.08975887298584,0.5094550251960754,0.20092299580574036,0.0,0.0,0.05105328559875488,-0.8930228352546692,1.3793617636556628,2,0.22581100463867188,0.0,0.0,False,3782.2,0.024888,False
3,0.48683983087539673,0.04078561067581177,9.889907836914062,0.6626009941101074,0.22222000360488892,0.0,0.0,-0.026320338249206543,-0.9184287786483765,5.0,3,0.22581100463867188,0.0,0.0,True,3782.26,0.00359,False
4,0.019564837217330933,0.9841158986091614,2.5255050659179688,17.54810905456543,0.03880099952220917,0.0,0.0,-0.9608703255653381,0.9682317972183228,0.5614829170899391,0,0.2208629995584488,0.0,0.0,False,3782.38,0.182062,False
4,0.031272321939468384,0.9704291820526123,4.249873161315918,15.784156799316406,0.1300790011882782,0.0,0.0,-0.9374553561210632,0.9408583641052246,1.6891030115897756,1,0.2208629995584488,0.0,0.0,False,3782.44,0.090784,False
4,0.5962013006210327,0.04409593343734741,13.320688247680664,0.5147429704666138,0.19807299971580505,0.0,0.0,0.19240260124206543,-0.9118081331253052,1.313642185622692,2,0.2208629995584488,0.0,0.0,False,3782.5,0.022791,False
4,0.38056468963623047,0.04259344935417175,7.8719658851623535,0.5911960005760193,0.21919900178909302,0.0,0.0,-0.23887062072753906,-0.9148131012916565,5.0,3,0.2208629995584488,0.0,0.0,True,3782.56,0.001665,False
5,0.028152436017990112,0.9757264256477356,2.6571309566497803,17.420446395874023,0.03790799900889397,0.0,0.0,-0.9436951279640198,0.9514528512954712,0.6195776597366333,0,0.1470160037279129,0.0,0.0,False,3782.68,0.109109,False
5,0.06078055500984192,0.44126757979393005,3.57283091545105,6.468131065368652,0.10554199665784836,0.0,0.0,-0.8784388899803162,-0.11746484041213989,1.284236132610798,1,0.1470160037279129,0.0,0.0,False,3782.74,0.041474,False
5,0.7988277673721313,0.02217373251914978,15.959404945373535,0.4606249928474426,0.13283799588680267,0.0,0.0,0.5976555347442627,-0.9556525349617004,0.521582558618307,2,0.1470160037279129,0.0,0.0,False,3782.8,0.014178,False
5,0.036555737257003784,0.43995681405067444,1.612786054611206,7.9174652099609375,0.14876100420951843,0.0,0.0,-0.9268885254859924,-0.12008637189865112,5.0,3,0.1470160037279129,0.0,0.0,True,3782.86,0.001744,False
6,0.029562801122665405,0.972682774066925,2.661041021347046,17.383869171142578,0.03654100000858307,0.0,0.0,-0.9408743977546692,0.9453655481338501,0.621394352564335,0,0.13060399889945984,0.0,0.0,False,3782.98,0.094063,False
6,0.08128270506858826,0.31905892491340637,3.6490139961242676,4.357819080352783,0.09778600186109543,0.0,0.0,-0.8374345898628235,-0.36188215017318726,1.1686148499674793,1,0.13060399889945984,0.0,0.0,False,3783.04,0.032818,False
6,0.7399535775184631,0.0342542827129364,14.697813987731934,0.7863439917564392,0.1196340024471283,0.0,0.0,0.47990715503692627,-0.9314914345741272,0.41691556782066824,2,0.13060399889945984,0.0,0.0,False,3783.1,0.01097,False
6,0.03819108009338379,0.4551003575325012,1.6146249771118164,8.251202583312988,0.13400599360466003,0.0,0.0,-0.9236178398132324,-0.08979928493499756,5.0,3,0.13060399889945984,0.0,0.0,True,3783.16,0.003402,False
7,0.9542293548583984,0.03198990225791931,17.020835876464844,2.703550100326538,-0.039002999663352966,0.0,0.0,0.9084587097167969,-0.9360201954841614,0.6060648258457183,0,-0.15982699394226074,0.0,0.0,False,3783.28,0.120824,False
7,0.5814774036407471,0.18528488278388977,9.25944709777832,6.075798988342285,-0.10651800036430359,0.0,0.0,0.16295480728149414,-0.6294302344322205,1.2687532993886468,1,-0.15982699394226074,0.0,0.0,False,3783.34,0.053309,False
7,0.0623130202293396,0.8077150583267212,1.18483304977417,16.215728759765625,-0.13540199398994446,0.0,0.0,-0.8753739595413208,0.6154301166534424,0.5427930998775363,2,-0.15982699394226074,0.0,0.0,False,3783.4,0.024425,False
7,0.31768685579299927,0.03705611824989319,5.687356948852539,1.4075020551681519,-0.14830799400806427,0.0,0.0,-0.36462628841400146,-0.9258877635002136,0.2356185639092922,3,-0.15982699394226074,0.0,0.0,False,3783.46,0.011519,False
